"state_code","category","year","unit","amount"
"AL","Renewable-Consumption","1980","Billion Btu",238766
"AL","Renewable-Consumption","1970","Billion Btu",132471
"AL","Renewable-Consumption","2010","Billion Btu",266140
"AL","Renewable-Consumption","2000","Billion Btu",263303
"AL","Renewable-Production","1990","Billion Btu",503333
"AL","Renewable-Production","2020","Billion Btu",575473
"AL","Renewable-Production","2000","Billion Btu",526605
"AL","Renewable-Production","1970","Billion Btu",264941
"AL","Renewable-Production","1980","Billion Btu",477532
"AL","Renewable-Production","2010","Billion Btu",484486
"AL","Total Expenditure","2010","Dollars",21629000000
"AL","Total Expenditure","1980","Dollars",6643000000
"AL","Total Expenditure","2000","Dollars",12039000000
"AL","Total Expenditure","2020","Dollars",18570000000
"AL","Total Expenditure","1990","Dollars",8193000000
"AL","Total Expenditure","1970","Dollars",1406000000
"AR","All Industry Total","1990","Dollars",38680000000
"AR","All Industry Total","1970","Dollars",6667000000
"AR","All Industry Total","1980","Dollars",20276000000
"AR","All Industry Total","2010","Dollars",101487000000
"AR","All Industry Total","2020","Dollars",133969000000
"AR","All Industry Total","2000","Dollars",68679000000
"AR","Consumption","2020","Billion Btu",1034661
"AR","Consumption","2010","Billion Btu",1129224
"AR","Consumption","2000","Billion Btu",1141593
"AR","Consumption","1980","Billion Btu",859238
"AR","Consumption","1970","Billion Btu",708904
"AR","Consumption","1990","Billion Btu",849198
"AR","Fossil Fuel-Consumption","2020","Billion Btu",812502
"AR","Fossil Fuel-Consumption","2010","Billion Btu",911280
"AR","Fossil Fuel-Consumption","2000","Billion Btu",881279
"AR","Fossil Fuel-Consumption","1980","Billion Btu",610360
"AR","Fossil Fuel-Consumption","1970","Billion Btu",630108
"AR","Fossil Fuel-Consumption","1990","Billion Btu",713092
"AR","Fossil Fuel-Production","2000","Billion Btu",41762
"AR","Fossil Fuel-Production","1980","Billion Btu",112776
"AR","Fossil Fuel-Production","2010","Billion Btu",33969
"AR","Fossil Fuel-Production","1990","Billion Btu",61563
"AR","Fossil Fuel-Production","2020","Billion Btu",23578
"AR","Fossil Fuel-Production","1970","Billion Btu",110617
"AR","Gdp Per Capita","2020","Dollars",44485
"AR","Gdp Per Capita","1990","Dollars",16454
"AR","Gdp Per Capita","1970","Dollars",3466
"AR","Gdp Per Capita","2000","Dollars",25690
"AR","Gdp Per Capita","1980","Dollars",8868
"AR","Gdp Per Capita","2010","Dollars",34804
"AR","Nuclear-Consumption","2020","Billion Btu",157288
"AR","Nuclear-Consumption","1970","Billion Btu",0
"AR","Nuclear-Consumption","2010","Billion Btu",157017
"AR","Nuclear-Consumption","1980","Billion Btu",85438
"AR","Nuclear-Consumption","2000","Billion Btu",121516
"AR","Nuclear-Consumption","1990","Billion Btu",119387
"AR","Population","2010","Individual Person",2915918
"AR","Population","1970","Individual Person",1923295
"AR","Population","1990","Individual Person",2350725
"AR","Population","2020","Individual Person",3011524
"AR","Population","1980","Individual Person",2286435
"AR","Population","2000","Individual Person",2673400
"AR","Production","2010","Billion Btu",1255308
"AR","Production","2000","Billion Btu",447383
"AR","Production","1970","Billion Btu",355074
"AR","Production","1980","Billion Btu",382605
"AR","Production","2020","Billion Btu",782360
"AR","Production","1990","Billion Btu",468832
"AR","Renewable-Consumption","2010","Billion Btu",138625
"AR","Renewable-Consumption","1990","Billion Btu",110505
"AR","Renewable-Consumption","2000","Billion Btu",108634
"AR","Renewable-Consumption","1980","Billion Btu",69996
"AR","Renewable-Consumption","1970","Billion Btu",56933
"AR","Renewable-Consumption","2020","Billion Btu",118159
"AR","Renewable-Production","1990","Billion Btu",219994
"AR","Renewable-Production","2020","Billion Btu",214639
"AR","Renewable-Production","2000","Billion Btu",217268
"AR","Renewable-Production","1980","Billion Btu",139992
"AR","Renewable-Production","2010","Billion Btu",251466
"AR","Renewable-Production","1970","Billion Btu",113865
"AR","Total Expenditure","1970","Dollars",801000000
"AR","Total Expenditure","2000","Dollars",7188000000
"AR","Total Expenditure","2020","Dollars",10368000000
"AR","Total Expenditure","1990","Dollars",4678000000
"AR","Total Expenditure","2010","Dollars",12309000000
"AR","Total Expenditure","1980","Dollars",3806000000
"AZ","All Industry Total","1990","Dollars",70632000000
"AZ","All Industry Total","2000","Dollars",165111000000
"AZ","All Industry Total","2020","Dollars",382072000000
"AZ","All Industry Total","2010","Dollars",251153000000
"AZ","All Industry Total","1970","Dollars",8569000000
"AZ","All Industry Total","1980","Dollars",30764000000
"AZ","Consumption","1980","Billion Btu",754491
"AZ","Consumption","1970","Billion Btu",520401
"AZ","Consumption","1990","Billion Btu",950195
"AZ","Consumption","2000","Billion Btu",1332442
"AZ","Consumption","2010","Billion Btu",1434861
"AZ","Consumption","2020","Billion Btu",1508154
"AZ","Fossil Fuel-Consumption","2020","Billion Btu",1217452
"AZ","Fossil Fuel-Consumption","1970","Billion Btu",426304
"AZ","Fossil Fuel-Consumption","1980","Billion Btu",720245
"AZ","Fossil Fuel-Consumption","1990","Billion Btu",821435
"AZ","Fossil Fuel-Consumption","2000","Billion Btu",1143640
"AZ","Fossil Fuel-Consumption","2010","Billion Btu",1344322
"AZ","Fossil Fuel-Production","2000","Billion Btu",287114
"AZ","Fossil Fuel-Production","1980","Billion Btu",243150
"AZ","Fossil Fuel-Production","1970","Billion Btu",13262
"AZ","Fossil Fuel-Production","2010","Billion Btu",168145
"AZ","Fossil Fuel-Production","1990","Billion Btu",249720
"AZ","Fossil Fuel-Production","2020","Billion Btu",28
"AZ","Gdp Per Capita","2000","Dollars",32181
"AZ","Gdp Per Capita","1970","Dollars",4839
"AZ","Gdp Per Capita","1980","Dollars",11318
"AZ","Gdp Per Capita","2010","Dollars",39292
"AZ","Gdp Per Capita","2020","Dollars",53425
"AZ","Gdp Per Capita","1990","Dollars",19271
"AZ","Nuclear-Consumption","2000","Billion Btu",316839
"AZ","Nuclear-Consumption","1980","Billion Btu",0
"AZ","Nuclear-Consumption","2010","Billion Btu",326102
"AZ","Nuclear-Consumption","2020","Billion Btu",329471
"AZ","Nuclear-Consumption","1970","Billion Btu",0
"AZ","Nuclear-Consumption","1990","Billion Btu",217965
"AZ","Population","1980","Individual Person",2718215
"AZ","Population","1990","Individual Person",3665228
"AZ","Population","2000","Individual Person",5130632
"AZ","Population","2010","Individual Person",6392017
"AZ","Population","2020","Individual Person",7151502
"AZ","Population","1970","Individual Person",1770900
"AZ","Production","1980","Billion Btu",363380
"AZ","Production","2010","Billion Btu",579288
"AZ","Production","1990","Billion Btu",564631
"AZ","Production","2020","Billion Btu",481613
"AZ","Production","1970","Billion Btu",83347
"AZ","Production","2000","Billion Btu",705103
"AZ","Renewable-Consumption","2000","Billion Btu",102228
"AZ","Renewable-Consumption","2020","Billion Btu",177724
"AZ","Renewable-Consumption","1980","Billion Btu",120006
"AZ","Renewable-Consumption","1990","Billion Btu",94753
"AZ","Renewable-Consumption","2010","Billion Btu",100948
"AZ","Renewable-Consumption","1970","Billion Btu",68919
"AZ","Renewable-Production","1990","Billion Btu",189506
"AZ","Renewable-Production","2000","Billion Btu",201552
"AZ","Renewable-Production","1980","Billion Btu",240012
"AZ","Renewable-Production","2020","Billion Btu",304092
"AZ","Renewable-Production","2010","Billion Btu",162937
"AZ","Renewable-Production","1970","Billion Btu",137838
"AZ","Total Expenditure","1970","Dollars",743000000
"AZ","Total Expenditure","1980","Dollars",4169000000
"AZ","Total Expenditure","2010","Dollars",20320000000
"AZ","Total Expenditure","2020","Dollars",20340000000
"AZ","Total Expenditure","2000","Dollars",10625000000
"AZ","Total Expenditure","1990","Dollars",6527000000
"CA","All Industry Total","2020","Dollars",3020173000000
"CA","All Industry Total","1980","Dollars",327959000000
"CA","All Industry Total","2010","Dollars",1954093000000
"CA","All Industry Total","2000","Dollars",1356975000000
"CA","All Industry Total","1990","Dollars",773460000000
"CA","All Industry Total","1970","Dollars",111985000000
"CA","Consumption","2000","Billion Btu",7893262
"CA","Consumption","2020","Billion Btu",6922764
"CA","Consumption","1970","Billion Btu",5499139
"CA","Consumption","1980","Billion Btu",6540472
"CA","Consumption","2010","Billion Btu",7651772
"CA","Consumption","1990","Billion Btu",7439360
"CA","Fossil Fuel-Consumption","2000","Billion Btu",6097915
"CA","Fossil Fuel-Consumption","1990","Billion Btu",5691323
"CA","Fossil Fuel-Consumption","1970","Billion Btu",4805642
"CA","Fossil Fuel-Consumption","1980","Billion Btu",5434337
"CA","Fossil Fuel-Consumption","2010","Billion Btu",5631431
"CA","Fossil Fuel-Consumption","2020","Billion Btu",4844892
"CA","Fossil Fuel-Production","2010","Billion Btu",1162146
"CA","Fossil Fuel-Production","1980","Billion Btu",2011465
"CA","Fossil Fuel-Production","1970","Billion Btu",2013508
"CA","Fossil Fuel-Production","1990","Billion Btu",1861766
"CA","Fossil Fuel-Production","2020","Billion Btu",814462
"CA","Fossil Fuel-Production","2000","Billion Btu",1572566
"CA","Gdp Per Capita","1990","Dollars",25990
"CA","Gdp Per Capita","2010","Dollars",52453
"CA","Gdp Per Capita","1980","Dollars",13857
"CA","Gdp Per Capita","2020","Dollars",76386
"CA","Gdp Per Capita","1970","Dollars",5612
"CA","Gdp Per Capita","2000","Dollars",40062
"CA","Nuclear-Consumption","2000","Billion Btu",366845
"CA","Nuclear-Consumption","1980","Billion Btu",53665
"CA","Nuclear-Consumption","2010","Billion Btu",336562
"CA","Nuclear-Consumption","1970","Billion Btu",34375
"CA","Nuclear-Consumption","2020","Billion Btu",169773
"CA","Nuclear-Consumption","1990","Billion Btu",345955
"CA","Population","2020","Individual Person",39538223
"CA","Population","1970","Individual Person",19953134
"CA","Population","1980","Individual Person",23667902
"CA","Population","1990","Individual Person",29760021
"CA","Population","2000","Individual Person",33871648
"CA","Population","2010","Individual Person",37253956
"CA","Production","1970","Billion Btu",3309614
"CA","Production","1990","Billion Btu",3278511
"CA","Production","1980","Billion Btu",2999601
"CA","Production","2020","Billion Btu",2190166
"CA","Production","2010","Billion Btu",2534508
"CA","Production","2000","Billion Btu",3067393
"CA","Renewable-Consumption","2020","Billion Btu",1140522
"CA","Renewable-Consumption","2010","Billion Btu",837590
"CA","Renewable-Consumption","1990","Billion Btu",672975
"CA","Renewable-Consumption","1970","Billion Btu",521978
"CA","Renewable-Consumption","2000","Billion Btu",741757
"CA","Renewable-Consumption","1980","Billion Btu",591928
"CA","Renewable-Production","2000","Billion Btu",1472595
"CA","Renewable-Production","1970","Billion Btu",1043956
"CA","Renewable-Production","1990","Billion Btu",1338154
"CA","Renewable-Production","2020","Billion Btu",2007437
"CA","Renewable-Production","1980","Billion Btu",1183856
"CA","Renewable-Production","2010","Billion Btu",1421622
"CA","Total Expenditure","2010","Dollars",116276000000
"CA","Total Expenditure","2000","Dollars",68282000000
"CA","Total Expenditure","1970","Dollars",7000000000
"CA","Total Expenditure","2020","Dollars",114485000000
"CA","Total Expenditure","1980","Dollars",35906000000
"CA","Total Expenditure","1990","Dollars",48508000000
"CO","All Industry Total","1980","Dollars",38332000000
"CO","All Industry Total","1990","Dollars",75571000000
"CO","All Industry Total","2010","Dollars",258300000000
"CO","All Industry Total","1970","Dollars",10431000000
"CO","All Industry Total","2020","Dollars",391263000000
"CO","All Industry Total","2000","Dollars",180063000000
"CO","Consumption","2000","Billion Btu",1268642
"CO","Consumption","1990","Billion Btu",944300
"CO","Consumption","1980","Billion Btu",838088
"CO","Consumption","1970","Billion Btu",677623
"CO","Consumption","2020","Billion Btu",1451112
"CO","Consumption","2010","Billion Btu",1517105
"CO","Fossil Fuel-Consumption","1970","Billion Btu",664055
"CO","Fossil Fuel-Consumption","1990","Billion Btu",896141
"CO","Fossil Fuel-Consumption","2020","Billion Btu",1209252
"CO","Fossil Fuel-Consumption","1980","Billion Btu",820169
"CO","Fossil Fuel-Consumption","2010","Billion Btu",1371949
"CO","Fossil Fuel-Consumption","2000","Billion Btu",1192573
"CO","Fossil Fuel-Production","2010","Billion Btu",743619
"CO","Fossil Fuel-Production","1970","Billion Btu",274942
"CO","Fossil Fuel-Production","2000","Billion Btu",755213
"CO","Fossil Fuel-Production","1990","Billion Btu",581157
"CO","Fossil Fuel-Production","1980","Billion Btu",585311
"CO","Fossil Fuel-Production","2020","Billion Btu",1165626
"CO","Gdp Per Capita","1990","Dollars",22939
"CO","Gdp Per Capita","1970","Dollars",4726
"CO","Gdp Per Capita","2000","Dollars",41863
"CO","Gdp Per Capita","1980","Dollars",13264
"CO","Gdp Per Capita","2020","Dollars",67766
"CO","Gdp Per Capita","2010","Dollars",51360
"CO","Nuclear-Consumption","1980","Billion Btu",7273
"CO","Nuclear-Consumption","1990","Billion Btu",0
"CO","Nuclear-Consumption","2010","Billion Btu",0
"CO","Nuclear-Consumption","2000","Billion Btu",0
"CO","Nuclear-Consumption","2020","Billion Btu",0
"CO","Nuclear-Consumption","1970","Billion Btu",0
"CO","Population","2020","Individual Person",5773714
"CO","Population","1970","Individual Person",2207259
"CO","Population","1980","Individual Person",2889964
"CO","Population","2000","Individual Person",4301261
"CO","Population","2010","Individual Person",5029196
"CO","Population","1990","Individual Person",3294394
"CO","Production","2010","Billion Btu",2557690
"CO","Production","1990","Billion Btu",875376
"CO","Production","2000","Billion Btu",1584090
"CO","Production","2020","Billion Btu",3775295
"CO","Production","1970","Billion Btu",405522
"CO","Production","1980","Billion Btu",836713
"CO","Renewable-Consumption","1970","Billion Btu",21329
"CO","Renewable-Consumption","2020","Billion Btu",194308
"CO","Renewable-Consumption","1980","Billion Btu",28582
"CO","Renewable-Consumption","2010","Billion Btu",82452
"CO","Renewable-Consumption","2000","Billion Btu",31999
"CO","Renewable-Consumption","1990","Billion Btu",27106
"CO","Renewable-Production","2000","Billion Btu",54012
"CO","Renewable-Production","2010","Billion Btu",147903
"CO","Renewable-Production","2020","Billion Btu",354016
"CO","Renewable-Production","1990","Billion Btu",52637
"CO","Renewable-Production","1980","Billion Btu",57165
"CO","Renewable-Production","1970","Billion Btu",42658
"CO","Total Expenditure","1970","Dollars",865000000
"CO","Total Expenditure","2000","Dollars",8661000000
"CO","Total Expenditure","2020","Dollars",15449000000
"CO","Total Expenditure","1990","Dollars",5277000000
"CO","Total Expenditure","1980","Dollars",4164000000
"CO","Total Expenditure","2010","Dollars",17069000000
"CT","All Industry Total","1970","Dollars",16347000000
"CT","All Industry Total","2000","Dollars",165614000000
"CT","All Industry Total","2020","Dollars",276223000000
"CT","All Industry Total","1980","Dollars",40770000000
"CT","All Industry Total","1990","Dollars",100169000000
"CT","All Industry Total","2010","Dollars",234700000000
"CT","Consumption","2020","Billion Btu",667011
"CT","Consumption","2000","Billion Btu",844550
"CT","Consumption","2010","Billion Btu",769858
"CT","Consumption","1970","Billion Btu",693930
"CT","Consumption","1980","Billion Btu",728226
"CT","Consumption","1990","Billion Btu",775896
"CT","Fossil Fuel-Consumption","1990","Billion Btu",586831
"CT","Fossil Fuel-Consumption","1970","Billion Btu",669103
"CT","Fossil Fuel-Consumption","1980","Billion Btu",576647
"CT","Fossil Fuel-Consumption","2020","Billion Btu",560491
"CT","Fossil Fuel-Consumption","2000","Billion Btu",628678
"CT","Fossil Fuel-Consumption","2010","Billion Btu",564646
"CT","Fossil Fuel-Production","2000","Billion Btu",0
"CT","Fossil Fuel-Production","1970","Billion Btu",0
"CT","Fossil Fuel-Production","1990","Billion Btu",0
"CT","Fossil Fuel-Production","2010","Billion Btu",0
"CT","Fossil Fuel-Production","2020","Billion Btu",0
"CT","Fossil Fuel-Production","1980","Billion Btu",0
"CT","Gdp Per Capita","2010","Dollars",65667
"CT","Gdp Per Capita","1990","Dollars",30473
"CT","Gdp Per Capita","2000","Dollars",48630
"CT","Gdp Per Capita","1980","Dollars",13120
"CT","Gdp Per Capita","2020","Dollars",76602
"CT","Gdp Per Capita","1970","Dollars",5392
"CT","Nuclear-Consumption","1970","Billion Btu",39567
"CT","Nuclear-Consumption","1990","Billion Btu",209272
"CT","Nuclear-Consumption","2010","Billion Btu",175074
"CT","Nuclear-Consumption","1980","Billion Btu",129094
"CT","Nuclear-Consumption","2000","Billion Btu",170674
"CT","Nuclear-Consumption","2020","Billion Btu",164095
"CT","Population","2010","Individual Person",3574097
"CT","Population","2000","Individual Person",3405565
"CT","Population","1990","Individual Person",3287116
"CT","Population","1970","Individual Person",3031709
"CT","Population","2020","Individual Person",3605944
"CT","Population","1980","Individual Person",3107576
"CT","Production","2020","Billion Btu",201489
"CT","Production","1990","Billion Btu",243985
"CT","Production","1970","Billion Btu",58859
"CT","Production","2010","Billion Btu",205449
"CT","Production","2000","Billion Btu",221252
"CT","Production","1980","Billion Btu",172842
"CT","Renewable-Consumption","1970","Billion Btu",19293
"CT","Renewable-Consumption","1990","Billion Btu",34712
"CT","Renewable-Consumption","2020","Billion Btu",46793
"CT","Renewable-Consumption","2000","Billion Btu",50913
"CT","Renewable-Consumption","1980","Billion Btu",43748
"CT","Renewable-Consumption","2010","Billion Btu",43562
"CT","Renewable-Production","1970","Billion Btu",38586
"CT","Renewable-Production","2010","Billion Btu",60695
"CT","Renewable-Production","1980","Billion Btu",87495
"CT","Renewable-Production","1990","Billion Btu",69425
"CT","Renewable-Production","2020","Billion Btu",72161
"CT","Renewable-Production","2000","Billion Btu",101156
"CT","Total Expenditure","1990","Dollars",6246000000
"CT","Total Expenditure","2000","Dollars",7993000000
"CT","Total Expenditure","1980","Dollars",4698000000
"CT","Total Expenditure","2020","Dollars",11540000000
"CT","Total Expenditure","1970","Dollars",1175000000
"CT","Total Expenditure","2010","Dollars",14329000000
"DE","All Industry Total","1970","Dollars",3166000000
"DE","All Industry Total","2010","Dollars",58164000000
"DE","All Industry Total","2000","Dollars",43451000000
"DE","All Industry Total","1980","Dollars",7898000000
"DE","All Industry Total","1990","Dollars",19928000000
"DE","All Industry Total","2020","Dollars",75819000000
"DE","Consumption","2010","Billion Btu",266384
"DE","Consumption","1990","Billion Btu",251796
"DE","Consumption","2000","Billion Btu",305696
"DE","Consumption","1970","Billion Btu",219722
"DE","Consumption","2020","Billion Btu",277144
"DE","Consumption","1980","Billion Btu",242340
"DE","Fossil Fuel-Consumption","1990","Billion Btu",234607
"DE","Fossil Fuel-Consumption","1970","Billion Btu",218169
"DE","Fossil Fuel-Consumption","1980","Billion Btu",243646
"DE","Fossil Fuel-Consumption","2020","Billion Btu",200784
"DE","Fossil Fuel-Consumption","2000","Billion Btu",231146
"DE","Fossil Fuel-Consumption","2010","Billion Btu",187284
"DE","Fossil Fuel-Production","1970","Billion Btu",0
"DE","Fossil Fuel-Production","2010","Billion Btu",0
"DE","Fossil Fuel-Production","2020","Billion Btu",0
"DE","Fossil Fuel-Production","2000","Billion Btu",0
"DE","Fossil Fuel-Production","1980","Billion Btu",0
"DE","Fossil Fuel-Production","1990","Billion Btu",0
"DE","Gdp Per Capita","1970","Dollars",5776
"DE","Gdp Per Capita","2000","Dollars",55450
"DE","Gdp Per Capita","2010","Dollars",64775
"DE","Gdp Per Capita","1990","Dollars",29914
"DE","Gdp Per Capita","2020","Dollars",76589
"DE","Gdp Per Capita","1980","Dollars",13289
"DE","Nuclear-Consumption","1980","Billion Btu",0
"DE","Nuclear-Consumption","2020","Billion Btu",0
"DE","Nuclear-Consumption","1990","Billion Btu",0
"DE","Nuclear-Consumption","2000","Billion Btu",0
"DE","Nuclear-Consumption","1970","Billion Btu",0
"DE","Nuclear-Consumption","2010","Billion Btu",0
"DE","Population","1980","Individual Person",594338
"DE","Population","2010","Individual Person",897934
"DE","Population","1970","Individual Person",548104
"DE","Population","2020","Individual Person",989948
"DE","Population","2000","Individual Person",783600
"DE","Population","1990","Individual Person",666168
"DE","Production","1990","Billion Btu",1653
"DE","Production","2020","Billion Btu",3571
"DE","Production","2010","Billion Btu",3842
"DE","Production","1980","Billion Btu",2472
"DE","Production","2000","Billion Btu",2291
"DE","Production","1970","Billion Btu",7021
"DE","Renewable-Consumption","2000","Billion Btu",2291
"DE","Renewable-Consumption","2020","Billion Btu",7724
"DE","Renewable-Consumption","1970","Billion Btu",7021
"DE","Renewable-Consumption","1990","Billion Btu",1653
"DE","Renewable-Consumption","2010","Billion Btu",7759
"DE","Renewable-Consumption","1980","Billion Btu",2472
"DE","Renewable-Production","1970","Billion Btu",14042
"DE","Renewable-Production","2000","Billion Btu",4581
"DE","Renewable-Production","2020","Billion Btu",7143
"DE","Renewable-Production","1980","Billion Btu",4944
"DE","Renewable-Production","2010","Billion Btu",7685
"DE","Renewable-Production","1990","Billion Btu",3306
"DE","Total Expenditure","1990","Dollars",1413000000
"DE","Total Expenditure","2020","Dollars",3153000000
"DE","Total Expenditure","1980","Dollars",1280000000
"DE","Total Expenditure","1970","Dollars",263000000
"DE","Total Expenditure","2010","Dollars",3842000000
"DE","Total Expenditure","2000","Dollars",1932000000
"FL","All Industry Total","1970","Dollars",30691000000
"FL","All Industry Total","2010","Dollars",746929000000
"FL","All Industry Total","2000","Dollars",490430000000
"FL","All Industry Total","1990","Dollars",256589000000
"FL","All Industry Total","1980","Dollars",97899000000
"FL","All Industry Total","2020","Dollars",1116727000000
"FL","Consumption","1970","Billion Btu",1577450
"FL","Consumption","2000","Billion Btu",4076022
"FL","Consumption","2010","Billion Btu",4319171
"FL","Consumption","1980","Billion Btu",2511917
"FL","Consumption","2020","Billion Btu",4003133
"FL","Consumption","1990","Billion Btu",3289151
"FL","Fossil Fuel-Consumption","2020","Billion Btu",3290746
"FL","Fossil Fuel-Consumption","1970","Billion Btu",1532980
"FL","Fossil Fuel-Consumption","1990","Billion Btu",2542784
"FL","Fossil Fuel-Consumption","2000","Billion Btu",3242725
"FL","Fossil Fuel-Consumption","2010","Billion Btu",3534659
"FL","Fossil Fuel-Consumption","1980","Billion Btu",2205741
"FL","Fossil Fuel-Production","1970","Billion Btu",17394
"FL","Fossil Fuel-Production","2010","Billion Btu",10307
"FL","Fossil Fuel-Production","1980","Billion Btu",248739
"FL","Fossil Fuel-Production","2000","Billion Btu",26831
"FL","Fossil Fuel-Production","1990","Billion Btu",32915
