"state_code","category","description","unit","amount"
"AR","Fossil Fuel-Consumption","Change 1970-1980","Billion Btu",-19748
"AR","Fossil Fuel-Consumption","Change 1990-2000","Billion Btu",168187
"AR","Fossil Fuel-Consumption","Change 2010-2020","Billion Btu",-98778
"AR","Fossil Fuel-Consumption","Percent Change 1970-1980","Billion Btu",-2.13
"AR","Fossil Fuel-Consumption","Percent Change 2010-2020","Billion Btu",-7.79
"AR","Fossil Fuel-Consumption","Percent Change 1980-1990","Billion Btu",10.09
"AR","Fossil Fuel-Production","Change 1970-1980","Billion Btu",2159
"AR","Fossil Fuel-Production","Percent Change 1980-1990","Billion Btu",-43.42
"AR","Fossil Fuel-Production","Percent Change 1990-2000","Billion Btu",-27.30
"AR","Fossil Fuel-Production","Change 1980-1990","Billion Btu",-51213
"AR","Fossil Fuel-Production","Change 2010-2020","Billion Btu",-10391
"AR","Fossil Fuel-Production","Change 1990-2000","Billion Btu",-19801
"AR","Fossil Fuel-Production","Percent Change 1970-1980","Billion Btu",1.28
"AR","Fossil Fuel-Production","Percent Change 2000-2010","Billion Btu",-14.21
"AR","Fossil Fuel-Production","Change 2000-2010","Billion Btu",-7793
"AR","Fossil Fuel-Production","Percent Change 2010-2020","Billion Btu",-25.62
"AR","Nuclear-Consumption","Percent Change 1970-1980","Billion Btu",100.00
"AR","Nuclear-Consumption","Change 1980-1990","Billion Btu",33949
"AR","Nuclear-Consumption","Percent Change 1990-2000","Billion Btu",1.17
"AR","Nuclear-Consumption","Change 2000-2010","Billion Btu",35501
"AR","Nuclear-Consumption","Percent Change 2000-2010","Billion Btu",16.30
"AR","Nuclear-Consumption","Change 1990-2000","Billion Btu",2129
"AR","Nuclear-Consumption","Percent Change 1980-1990","Billion Btu",20.94
"AR","Nuclear-Consumption","Change 1970-1980","Billion Btu",85438
"AR","Nuclear-Consumption","Change 2010-2020","Billion Btu",271
"AR","Nuclear-Consumption","Percent Change 2010-2020","Billion Btu",0.11
"AR","Renewable-Consumption","Percent Change 1990-2000","Billion Btu",-1.14
"AR","Renewable-Consumption","Percent Change 2010-2020","Billion Btu",-10.92
"AR","Renewable-Consumption","Change 1970-1980","Billion Btu",13063
"AR","Renewable-Consumption","Percent Change 2000-2010","Billion Btu",15.54
"AR","Renewable-Consumption","Percent Change 1980-1990","Billion Btu",27.84
"AR","Renewable-Consumption","Change 1980-1990","Billion Btu",40509
"AR","Renewable-Consumption","Change 2010-2020","Billion Btu",-20466
"AR","Renewable-Consumption","Change 1990-2000","Billion Btu",-1871
"AR","Renewable-Consumption","Percent Change 1970-1980","Billion Btu",13.27
"AR","Renewable-Consumption","Change 2000-2010","Billion Btu",29991
"AR","Renewable-Production","Change 1990-2000","Billion Btu",-2726
"AR","Renewable-Production","Change 2000-2010","Billion Btu",34198
"AR","Renewable-Production","Change 2010-2020","Billion Btu",-36827
"AR","Renewable-Production","Change 1970-1980","Billion Btu",26127
"AR","Renewable-Production","Percent Change 2000-2010","Billion Btu",9.50
"AR","Renewable-Production","Percent Change 1970-1980","Billion Btu",13.27
"AR","Renewable-Production","Change 1980-1990","Billion Btu",80002
"AR","Renewable-Production","Percent Change 1980-1990","Billion Btu",27.59
"AR","Renewable-Production","Percent Change 2010-2020","Billion Btu",-10.82
"AR","Renewable-Production","Percent Change 1990-2000","Billion Btu",-0.83
"AZ","Fossil Fuel-Consumption","Change 2000-2010","Billion Btu",200682
"AZ","Fossil Fuel-Consumption","Change 1970-1980","Billion Btu",293941
"AZ","Fossil Fuel-Consumption","Change 1980-1990","Billion Btu",101190
"AZ","Fossil Fuel-Consumption","Change 2010-2020","Billion Btu",-126870
"AZ","Fossil Fuel-Consumption","Percent Change 2010-2020","Billion Btu",-6.71
"AZ","Fossil Fuel-Consumption","Percent Change 1970-1980","Billion Btu",31.49
"AZ","Fossil Fuel-Consumption","Percent Change 1980-1990","Billion Btu",8.56
"AZ","Fossil Fuel-Consumption","Percent Change 1990-2000","Billion Btu",20.73
"AZ","Fossil Fuel-Consumption","Change 1990-2000","Billion Btu",322205
"AZ","Fossil Fuel-Consumption","Percent Change 2000-2010","Billion Btu",10.47
"AZ","Fossil Fuel-Production","Percent Change 1970-1980","Billion Btu",92.04
"AZ","Fossil Fuel-Production","Change 2000-2010","Billion Btu",-118969
"AZ","Fossil Fuel-Production","Change 1970-1980","Billion Btu",229888
"AZ","Fossil Fuel-Production","Percent Change 2000-2010","Billion Btu",-38.17
"AZ","Fossil Fuel-Production","Percent Change 2010-2020","Billion Btu",-199.90
"AZ","Fossil Fuel-Production","Percent Change 1980-1990","Billion Btu",1.77
"AZ","Fossil Fuel-Production","Change 2010-2020","Billion Btu",-168117
"AZ","Fossil Fuel-Production","Change 1990-2000","Billion Btu",37394
"AZ","Fossil Fuel-Production","Percent Change 1990-2000","Billion Btu",9.08
"AZ","Fossil Fuel-Production","Change 1980-1990","Billion Btu",6570
"AZ","Nuclear-Consumption","Percent Change 2000-2010","Billion Btu",1.91
"AZ","Nuclear-Consumption","Change 2010-2020","Billion Btu",3369
"AZ","Nuclear-Consumption","Change 1990-2000","Billion Btu",98874
"AZ","Nuclear-Consumption","Percent Change 1970-1980","Billion Btu",0
"AZ","Nuclear-Consumption","Percent Change 1980-1990","Billion Btu",100.00
"AZ","Nuclear-Consumption","Change 1980-1990","Billion Btu",217965
"AZ","Nuclear-Consumption","Change 2000-2010","Billion Btu",9263
"AZ","Nuclear-Consumption","Change 1970-1980","Billion Btu",0
"AZ","Nuclear-Consumption","Percent Change 2010-2020","Billion Btu",0.68
"AZ","Nuclear-Consumption","Percent Change 1990-2000","Billion Btu",23.22
"AZ","Renewable-Consumption","Change 1970-1980","Billion Btu",51087
"AZ","Renewable-Consumption","Percent Change 2010-2020","Billion Btu",33.64
"AZ","Renewable-Consumption","Change 2010-2020","Billion Btu",76776
"AZ","Renewable-Consumption","Percent Change 1990-2000","Billion Btu",5.00
"AZ","Renewable-Consumption","Change 2000-2010","Billion Btu",-1280
"AZ","Renewable-Consumption","Change 1990-2000","Billion Btu",7475
"AZ","Renewable-Consumption","Percent Change 1970-1980","Billion Btu",33.07
"AZ","Renewable-Consumption","Percent Change 1980-1990","Billion Btu",-16.32
"AZ","Renewable-Consumption","Percent Change 2000-2010","Billion Btu",-0.84
"AZ","Renewable-Consumption","Change 1980-1990","Billion Btu",-25253
"AZ","Renewable-Production","Percent Change 2000-2010","Billion Btu",-14.64
"AZ","Renewable-Production","Change 2010-2020","Billion Btu",141155
"AZ","Renewable-Production","Change 1980-1990","Billion Btu",-50506
"AZ","Renewable-Production","Change 1970-1980","Billion Btu",102174
"AZ","Renewable-Production","Change 1990-2000","Billion Btu",12046
"AZ","Renewable-Production","Percent Change 2010-2020","Billion Btu",36.61
"AZ","Renewable-Production","Percent Change 1970-1980","Billion Btu",33.07
"AZ","Renewable-Production","Percent Change 1980-1990","Billion Btu",-16.32
"AZ","Renewable-Production","Change 2000-2010","Billion Btu",-38615
"AZ","Renewable-Production","Percent Change 1990-2000","Billion Btu",4.07
"CA","Fossil Fuel-Consumption","Percent Change 1990-2000","Billion Btu",4.55
"CA","Fossil Fuel-Consumption","Change 1990-2000","Billion Btu",406592
"CA","Fossil Fuel-Consumption","Percent Change 2010-2020","Billion Btu",-10.27
"CA","Fossil Fuel-Consumption","Change 1970-1980","Billion Btu",628695
"CA","Fossil Fuel-Consumption","Change 2010-2020","Billion Btu",-786539
"CA","Fossil Fuel-Consumption","Percent Change 1980-1990","Billion Btu",3.06
"CA","Fossil Fuel-Consumption","Change 2000-2010","Billion Btu",-466484
"CA","Fossil Fuel-Consumption","Percent Change 2000-2010","Billion Btu",-5.37
"CA","Fossil Fuel-Consumption","Percent Change 1970-1980","Billion Btu",8.02
"CA","Fossil Fuel-Consumption","Change 1980-1990","Billion Btu",256986
"CA","Fossil Fuel-Production","Percent Change 1980-1990","Billion Btu",-5.22
"CA","Fossil Fuel-Production","Percent Change 2010-2020","Billion Btu",-24.91
"CA","Fossil Fuel-Production","Change 1980-1990","Billion Btu",-149699
"CA","Fossil Fuel-Production","Percent Change 2000-2010","Billion Btu",-21.06
"CA","Fossil Fuel-Production","Change 1970-1980","Billion Btu",-2043
"CA","Fossil Fuel-Production","Percent Change 1970-1980","Billion Btu",-0.07
"CA","Fossil Fuel-Production","Percent Change 1990-2000","Billion Btu",-11.55
"CA","Fossil Fuel-Production","Change 2000-2010","Billion Btu",-410420
"CA","Fossil Fuel-Production","Change 1990-2000","Billion Btu",-289200
"CA","Fossil Fuel-Production","Change 2010-2020","Billion Btu",-347684
"CA","Nuclear-Consumption","Change 1990-2000","Billion Btu",20890
"CA","Nuclear-Consumption","Percent Change 2010-2020","Billion Btu",-49.34
"CA","Nuclear-Consumption","Change 1980-1990","Billion Btu",292290
"CA","Nuclear-Consumption","Change 2010-2020","Billion Btu",-166789
"CA","Nuclear-Consumption","Percent Change 2000-2010","Billion Btu",-5.82
"CA","Nuclear-Consumption","Change 2000-2010","Billion Btu",-30283
"CA","Nuclear-Consumption","Change 1970-1980","Billion Btu",19290
"CA","Nuclear-Consumption","Percent Change 1970-1980","Billion Btu",27.23
"CA","Nuclear-Consumption","Percent Change 1990-2000","Billion Btu",3.87
"CA","Nuclear-Consumption","Percent Change 1980-1990","Billion Btu",78.41
"CA","Renewable-Consumption","Change 2000-2010","Billion Btu",95833
"CA","Renewable-Consumption","Percent Change 1970-1980","Billion Btu",8.20
"CA","Renewable-Consumption","Percent Change 1990-2000","Billion Btu",6.38
"CA","Renewable-Consumption","Percent Change 1980-1990","Billion Btu",8.36
"CA","Renewable-Consumption","Percent Change 2010-2020","Billion Btu",19.43
"CA","Renewable-Consumption","Change 1990-2000","Billion Btu",68782
"CA","Renewable-Consumption","Percent Change 2000-2010","Billion Btu",7.93
"CA","Renewable-Consumption","Change 1970-1980","Billion Btu",69950
"CA","Renewable-Consumption","Change 2010-2020","Billion Btu",302932
"CA","Renewable-Consumption","Change 1980-1990","Billion Btu",81047
"CA","Renewable-Production","Percent Change 2010-2020","Billion Btu",21.55
"CA","Renewable-Production","Percent Change 1980-1990","Billion Btu",7.99
"CA","Renewable-Production","Percent Change 1970-1980","Billion Btu",8.20
"CA","Renewable-Production","Change 2000-2010","Billion Btu",-50973
"CA","Renewable-Production","Change 1990-2000","Billion Btu",134441
"CA","Renewable-Production","Change 1980-1990","Billion Btu",154298
"CA","Renewable-Production","Change 2010-2020","Billion Btu",585815
"CA","Renewable-Production","Change 1970-1980","Billion Btu",139900
"CA","Renewable-Production","Percent Change 1990-2000","Billion Btu",6.28
"CA","Renewable-Production","Percent Change 2000-2010","Billion Btu",-2.36
"CO","Fossil Fuel-Consumption","Percent Change 1980-1990","Billion Btu",5.82
"CO","Fossil Fuel-Consumption","Percent Change 2000-2010","Billion Btu",9.11
"CO","Fossil Fuel-Consumption","Change 2000-2010","Billion Btu",179376
"CO","Fossil Fuel-Consumption","Change 1980-1990","Billion Btu",75972
"CO","Fossil Fuel-Consumption","Change 1970-1980","Billion Btu",156114
"CO","Fossil Fuel-Consumption","Percent Change 2010-2020","Billion Btu",-8.58
"CO","Fossil Fuel-Consumption","Change 2010-2020","Billion Btu",-162697
"CO","Fossil Fuel-Consumption","Percent Change 1990-2000","Billion Btu",18.07
"CO","Fossil Fuel-Consumption","Percent Change 1970-1980","Billion Btu",13.55
"CO","Fossil Fuel-Consumption","Change 1990-2000","Billion Btu",296432
"CO","Fossil Fuel-Production","Change 1990-2000","Billion Btu",174056
"CO","Fossil Fuel-Production","Change 2010-2020","Billion Btu",422007
"CO","Fossil Fuel-Production","Percent Change 2010-2020","Billion Btu",27.45
"CO","Fossil Fuel-Production","Change 2000-2010","Billion Btu",-11594
"CO","Fossil Fuel-Production","Change 1980-1990","Billion Btu",-4154
"CO","Fossil Fuel-Production","Percent Change 1990-2000","Billion Btu",16.64
"CO","Fossil Fuel-Production","Change 1970-1980","Billion Btu",310369
"CO","Fossil Fuel-Production","Percent Change 1970-1980","Billion Btu",42.94
"CO","Fossil Fuel-Production","Percent Change 1980-1990","Billion Btu",-0.48
"CO","Fossil Fuel-Production","Percent Change 2000-2010","Billion Btu",-1.03
"CO","Nuclear-Consumption","Change 1980-1990","Billion Btu",-7273
"CO","Nuclear-Consumption","Percent Change 2010-2020","Billion Btu",0
"CO","Nuclear-Consumption","Percent Change 1990-2000","Billion Btu",0
"CO","Nuclear-Consumption","Change 2000-2010","Billion Btu",0
"CO","Nuclear-Consumption","Change 1970-1980","Billion Btu",7273
"CO","Nuclear-Consumption","Change 2010-2020","Billion Btu",0
"CO","Nuclear-Consumption","Percent Change 2000-2010","Billion Btu",0
"CO","Nuclear-Consumption","Change 1990-2000","Billion Btu",0
"CO","Nuclear-Consumption","Percent Change 1980-1990","Billion Btu",-200.00
"CO","Nuclear-Consumption","Percent Change 1970-1980","Billion Btu",100.00
"CO","Renewable-Consumption","Change 2010-2020","Billion Btu",111856
"CO","Renewable-Consumption","Percent Change 1970-1980","Billion Btu",18.48
"CO","Renewable-Consumption","Percent Change 1990-2000","Billion Btu",10.74
"CO","Renewable-Consumption","Percent Change 1980-1990","Billion Btu",-3.57
"CO","Renewable-Consumption","Percent Change 2010-2020","Billion Btu",47.49
"CO","Renewable-Consumption","Change 1980-1990","Billion Btu",-1476
"CO","Renewable-Consumption","Change 1970-1980","Billion Btu",7253
"CO","Renewable-Consumption","Change 2000-2010","Billion Btu",50453
"CO","Renewable-Consumption","Change 1990-2000","Billion Btu",4893
"CO","Renewable-Consumption","Percent Change 2000-2010","Billion Btu",51.25
"CO","Renewable-Production","Percent Change 2000-2010","Billion Btu",53.68
"CO","Renewable-Production","Percent Change 2010-2020","Billion Btu",48.16
"CO","Renewable-Production","Change 2000-2010","Billion Btu",93891
"CO","Renewable-Production","Change 1980-1990","Billion Btu",-4528
"CO","Renewable-Production","Percent Change 1970-1980","Billion Btu",18.48
"CO","Renewable-Production","Percent Change 1990-2000","Billion Btu",1.71
"CO","Renewable-Production","Percent Change 1980-1990","Billion Btu",-5.58
"CO","Renewable-Production","Change 1970-1980","Billion Btu",14507
"CO","Renewable-Production","Change 1990-2000","Billion Btu",1375
"CO","Renewable-Production","Change 2010-2020","Billion Btu",206113
"CT","Fossil Fuel-Consumption","Percent Change 1980-1990","Billion Btu",1.16
"CT","Fossil Fuel-Consumption","Change 1980-1990","Billion Btu",10184
"CT","Fossil Fuel-Consumption","Change 2000-2010","Billion Btu",-64032
"CT","Fossil Fuel-Consumption","Percent Change 1990-2000","Billion Btu",4.54
"CT","Fossil Fuel-Consumption","Change 2010-2020","Billion Btu",-4155
"CT","Fossil Fuel-Consumption","Percent Change 2000-2010","Billion Btu",-7.28
"CT","Fossil Fuel-Consumption","Change 1970-1980","Billion Btu",-92456
"CT","Fossil Fuel-Consumption","Percent Change 2010-2020","Billion Btu",-0.49
"CT","Fossil Fuel-Consumption","Change 1990-2000","Billion Btu",41847
"CT","Fossil Fuel-Consumption","Percent Change 1970-1980","Billion Btu",-10.15
"CT","Fossil Fuel-Production","Change 1970-1980","Billion Btu",0
"CT","Fossil Fuel-Production","Percent Change 2010-2020","Billion Btu",0
"CT","Fossil Fuel-Production","Percent Change 2000-2010","Billion Btu",0
"CT","Fossil Fuel-Production","Percent Change 1970-1980","Billion Btu",0
"CT","Fossil Fuel-Production","Change 2010-2020","Billion Btu",0
"CT","Fossil Fuel-Production","Percent Change 1990-2000","Billion Btu",0
"CT","Fossil Fuel-Production","Change 2000-2010","Billion Btu",0
"CT","Fossil Fuel-Production","Change 1980-1990","Billion Btu",0
"CT","Fossil Fuel-Production","Change 1990-2000","Billion Btu",0
"CT","Fossil Fuel-Production","Percent Change 1980-1990","Billion Btu",0
"CT","Nuclear-Consumption","Percent Change 2010-2020","Billion Btu",-4.36
"CT","Nuclear-Consumption","Change 1970-1980","Billion Btu",89527
"CT","Nuclear-Consumption","Percent Change 2000-2010","Billion Btu",1.69
"CT","Nuclear-Consumption","Change 2010-2020","Billion Btu",-10979
"CT","Nuclear-Consumption","Change 1980-1990","Billion Btu",80178
"CT","Nuclear-Consumption","Percent Change 1970-1980","Billion Btu",60.13
"CT","Nuclear-Consumption","Percent Change 1990-2000","Billion Btu",-14.02
"CT","Nuclear-Consumption","Change 1990-2000","Billion Btu",-38598
"CT","Nuclear-Consumption","Percent Change 1980-1990","Billion Btu",29.28
"CT","Nuclear-Consumption","Change 2000-2010","Billion Btu",4400
"CT","Renewable-Consumption","Change 2010-2020","Billion Btu",3231
"CT","Renewable-Consumption","Percent Change 2010-2020","Billion Btu",4.71
"CT","Renewable-Consumption","Percent Change 2000-2010","Billion Btu",-10.65
"CT","Renewable-Consumption","Change 2000-2010","Billion Btu",-7351
"CT","Renewable-Consumption","Percent Change 1980-1990","Billion Btu",-15.97
"CT","Renewable-Consumption","Change 1990-2000","Billion Btu",16201
"CT","Renewable-Consumption","Change 1970-1980","Billion Btu",24455
"CT","Renewable-Consumption","Percent Change 1970-1980","Billion Btu",45.80
"CT","Renewable-Consumption","Percent Change 1990-2000","Billion Btu",23.73
"CT","Renewable-Consumption","Change 1980-1990","Billion Btu",-9036
"CT","Renewable-Production","Change 1980-1990","Billion Btu",-18070
"CT","Renewable-Production","Percent Change 2010-2020","Billion Btu",11.19
"CT","Renewable-Production","Change 1970-1980","Billion Btu",48909
"CT","Renewable-Production","Percent Change 1990-2000","Billion Btu",23.35
"CT","Renewable-Production","Percent Change 1980-1990","Billion Btu",-15.97
"CT","Renewable-Production","Percent Change 1970-1980","Billion Btu",45.80
"CT","Renewable-Production","Percent Change 2000-2010","Billion Btu",-36.36
"CT","Renewable-Production","Change 2010-2020","Billion Btu",11466
"CT","Renewable-Production","Change 1990-2000","Billion Btu",31731
"CT","Renewable-Production","Change 2000-2010","Billion Btu",-40461
"DE","Fossil Fuel-Consumption","Change 2000-2010","Billion Btu",-43862
"DE","Fossil Fuel-Consumption","Change 1980-1990","Billion Btu",-9039
"DE","Fossil Fuel-Consumption","Change 1990-2000","Billion Btu",-3461
"DE","Fossil Fuel-Consumption","Percent Change 2010-2020","Billion Btu",4.59
"DE","Fossil Fuel-Consumption","Change 2010-2020","Billion Btu",13500
"DE","Fossil Fuel-Consumption","Percent Change 1980-1990","Billion Btu",-2.54
"DE","Fossil Fuel-Consumption","Change 1970-1980","Billion Btu",25477
"DE","Fossil Fuel-Consumption","Percent Change 1970-1980","Billion Btu",7.22
"DE","Fossil Fuel-Consumption","Percent Change 1990-2000","Billion Btu",-0.99
"DE","Fossil Fuel-Consumption","Percent Change 2000-2010","Billion Btu",-14.48
"DE","Fossil Fuel-Production","Percent Change 1980-1990","Billion Btu",0
"DE","Fossil Fuel-Production","Change 2010-2020","Billion Btu",0
"DE","Fossil Fuel-Production","Percent Change 1990-2000","Billion Btu",0
"DE","Fossil Fuel-Production","Change 1970-1980","Billion Btu",0
"DE","Fossil Fuel-Production","Change 2000-2010","Billion Btu",0
"DE","Fossil Fuel-Production","Percent Change 2000-2010","Billion Btu",0
"DE","Fossil Fuel-Production","Percent Change 2010-2020","Billion Btu",0
"DE","Fossil Fuel-Production","Percent Change 1970-1980","Billion Btu",0
"DE","Fossil Fuel-Production","Change 1990-2000","Billion Btu",0
"DE","Fossil Fuel-Production","Change 1980-1990","Billion Btu",0
"DE","Nuclear-Consumption","Change 1990-2000","Billion Btu",0
"DE","Nuclear-Consumption","Change 1980-1990","Billion Btu",0
"DE","Nuclear-Consumption","Percent Change 2000-2010","Billion Btu",0
"DE","Nuclear-Consumption","Percent Change 2010-2020","Billion Btu",0
"DE","Nuclear-Consumption","Percent Change 1980-1990","Billion Btu",0
"DE","Nuclear-Consumption","Change 2000-2010","Billion Btu",0
"DE","Nuclear-Consumption","Change 2010-2020","Billion Btu",0
"DE","Nuclear-Consumption","Change 1970-1980","Billion Btu",0
"DE","Nuclear-Consumption","Percent Change 1970-1980","Billion Btu",0
"DE","Nuclear-Consumption","Percent Change 1990-2000","Billion Btu",0
"DE","Renewable-Consumption","Percent Change 2000-2010","Billion Btu",61.41
"DE","Renewable-Consumption","Percent Change 1980-1990","Billion Btu",-28.35
"DE","Renewable-Consumption","Percent Change 1990-2000","Billion Btu",20.47
"DE","Renewable-Consumption","Change 1980-1990","Billion Btu",-819
